ID,FECHA_EGRESO,BATCH_EGRESO,COLOR_EGRESO,TIPO_ESMALTE_EGRESO,NUMERO_CONSUMO_EGRESO,CANTIDAD_CONSUMO_EGRESO
1,02/07/2026,13.0,BLANCO,FERRUM,4240.0,14.0
2,03/07/2026,13.0,BLANCO,FERRUM,4828.0,559.0
3,04/07/2026,13.0,BLANCO,FERRUM,45622.0,1012.0
4,05/07/2026,13.0,BLANCO,FERRUM,4600.0,1093.0
5,06/07/2026,13.0,BLANCO,FERRUM,6323.0,1428.0
6,02/07/2026,14.0,BLANCO,FERRUM,1.0,563.0
7,02/07/2026,14.0,BLANCO,FERRUM,2.0,981.0
8,02/07/2026,14.0,BLANCO,FERRUM,3.0,1186.0
9,02/07/2026,14.0,BLANCO,FERRUM,4.0,1452.0
10,02/07/2026,15.0,BLANCO,FERRUM,5.0,23.0
11,02/07/2026,15.0,BLANCO,FERRUM,5.0,598.0
12,02/07/2026,15.0,BLANCO,FERRUM,5.0,787.0
13,02/07/2026,15.0,BLANCO,FERRUM,5.0,1131.0
14,02/07/2026,15.0,BLANCO,FERRUM,5.0,1258.0
15,02/07/2026,15.0,BLANCO,FERRUM,5.0,796.0
16,02/07/2026,15.0,CARIBBEAN SHELL,FERRUM,5.0,796.0
17,02/07/2026,14.0,NEGRO, ,5.0,796.0
18,17/07/2026,12.0,BLANCO,FERRUM,5.0,796.0
19,02/07/2026,12.0,BLANCO,FERRUM,0.0,1223.0
